
======================================================================
Evaluating subject: business_ethics
======================================================================

======================================================================
Evaluating subject: astronomy
======================================================================
Q1: ✗ (Predicted: D, Correct: A)
Q1: ✗ (Predicted: A, Correct: C)
Q2: ✓ (Predicted: D, Correct: D)
Q2: ✗ (Predicted: A, Correct: B)
Q3: ✗ (Predicted: A, Correct: C)
Q3: ✗ (Predicted: B, Correct: D)
Q4: ✗ (Predicted: B, Correct: C)
Q4: ✗ (Predicted: C, Correct: D)
Q5: ✗ (Predicted: A, Correct: D)
Q5: ✓ (Predicted: B, Correct: B)
Q6: ✗ (Predicted: A, Correct: C)
Q6: ✗ (Predicted: A, Correct: B)
Q7: ✓ (Predicted: B, Correct: B)
Q7: ✗ (Predicted: A, Correct: B)
Q8: ✓ (Predicted: B, Correct: B)
Q8: ✓ (Predicted: A, Correct: A)
Q9: ✓ (Predicted: D, Correct: D)
Q9: ✗ (Predicted: A, Correct: B)
Q10: ✓ (Predicted: D, Correct: D)
Q10: ✗ (Predicted: B, Correct: C)
Q11: ✗ (Predicted: B, Correct: D)
Q11: ✗ (Predicted: A, Correct: C)
Q12: ✗ (Predicted: B, Correct: C)
Q12: ✗ (Predicted: A, Correct: C)
Q13: ✓ (Predicted: A, Correct: A)
Q13: ✓ (Predicted: D, Correct: D)
Q14: ✓ (Predicted: D, Correct: D)
Q14: ✓ (Predicted: B, Correct: B)
Q15: ✓ (Predicted: B, Correct: B)
Q15: ✗ (Predicted: A, Correct: D)
Q16: ✓ (Predicted: C, Correct: C)
Q16: ✓ (Predicted: B, Correct: B)
Q17: ✗ (Predicted: A, Correct: C)
Q17: ✓ (Predicted: A, Correct: A)
Q18: ✗ (Predicted: B, Correct: A)
Q18: ✗ (Predicted: A, Correct: C)
Q19: ✗ (Predicted: A, Correct: D)
Q19: ✓ (Predicted: C, Correct: C)
Q20: ✗ (Predicted: A, Correct: C)
Q20: ✓ (Predicted: A, Correct: A)
Q21: ✗ (Predicted: A, Correct: D)
Q21: ✓ (Predicted: A, Correct: A)
Q22: ✗ (Predicted: B, Correct: D)
Q22: ✗ (Predicted: A, Correct: B)
Q23: ✗ (Predicted: B, Correct: D)
Q23: ✗ (Predicted: A, Correct: C)
Q24: ✗ (Predicted: A, Correct: B)
Q24: ✓ (Predicted: A, Correct: A)
Q25: ✗ (Predicted: A, Correct: C)
Q25: ✓ (Predicted: A, Correct: A)
Q26: ✗ (Predicted: A, Correct: D)
Q26: ✓ (Predicted: B, Correct: B)
Q27: ✗ (Predicted: A, Correct: C)
Q27: ✗ (Predicted: D, Correct: B)
Q28: ✗ (Predicted: A, Correct: D)
Q28: ✗ (Predicted: A, Correct: C)
Q29: ✗ (Predicted: A, Correct: B)
Q29: ✓ (Predicted: D, Correct: D)
Q30: ✗ (Predicted: A, Correct: C)
Q30: ✗ (Predicted: A, Correct: D)
Q31: ✓ (Predicted: B, Correct: B)
Q31: ✓ (Predicted: A, Correct: A)
Q32: ✗ (Predicted: A, Correct: C)
Q32: ✓ (Predicted: A, Correct: A)
Q33: ✗ (Predicted: A, Correct: D)
Q33: ✗ (Predicted: A, Correct: D)
Q34: ✗ (Predicted: A, Correct: D)
Q34: ✓ (Predicted: A, Correct: A)
Q35: ✗ (Predicted: D, Correct: C)
Q35: ✗ (Predicted: A, Correct: D)
Q36: ✗ (Predicted: B, Correct: D)
Q36: ✗ (Predicted: A, Correct: C)
Q37: ✓ (Predicted: A, Correct: A)
Q37: ✗ (Predicted: A, Correct: B)
Q38: ✗ (Predicted: D, Correct: C)
Q38: ✗ (Predicted: A, Correct: D)
Q39: ✓ (Predicted: B, Correct: B)
Q39: ✗ (Predicted: A, Correct: C)
Q40: ✓ (Predicted: B, Correct: B)
Q40: ✗ (Predicted: A, Correct: B)
Q41: ✗ (Predicted: A, Correct: C)
Q41: ✗ (Predicted: A, Correct: D)
Q42: ✓ (Predicted: D, Correct: D)
Q42: ✓ (Predicted: A, Correct: A)
Q43: ✓ (Predicted: A, Correct: A)
Q43: ✗ (Predicted: D, Correct: A)
Q44: ✓ (Predicted: A, Correct: A)
Q44: ✓ (Predicted: B, Correct: B)
Q45: ✗ (Predicted: A, Correct: C)
Q45: ✗ (Predicted: C, Correct: B)
Q46: ✗ (Predicted: B, Correct: D)
Q46: ✓ (Predicted: D, Correct: D)
Q47: ✓ (Predicted: D, Correct: D)
Q47: ✗ (Predicted: A, Correct: C)
Q48: ✓ (Predicted: A, Correct: A)
Q48: ✓ (Predicted: A, Correct: A)
Q49: ✗ (Predicted: B, Correct: C)
Q49: ✗ (Predicted: A, Correct: D)
Q50: ✗ (Predicted: A, Correct: B)
Q50: ✗ (Predicted: A, Correct: B)
Q51: ✗ (Predicted: B, Correct: A)
Q51: ✓ (Predicted: A, Correct: A)
Q52: ✗ (Predicted: A, Correct: D)
Q52: ✓ (Predicted: B, Correct: B)
Q53: ✗ (Predicted: B, Correct: D)
Q53: ✓ (Predicted: D, Correct: D)
